original,modified
"The chairman welcomed the new hires.","The chairperson welcomed the new hires."
"Every student should bring his book to class.","Every student should bring their book to class."
"The fireman saved the cat from the tree.","The firefighter saved the cat from the tree."
"The stewardess served drinks to the passengers.","The flight attendant served drinks to the passengers."
"The businessman gave a presentation.","The businessperson gave a presentation."
"Each employee must submit his report by Friday.","Each employee must submit their report by Friday."
"My mother is policeman and he send me some foods.","My mother is a police officer and she sent me some food."
"Women tend to be more nurturing.","People tend to show care in different ways."
"The best man for the job will be hired.","The best person for the job will be hired."
"The actress won an award for her performance.","The actor won an award for their performance."
"The congressman proposed a new bill.","The legislator proposed a new bill."
"The cleaning lady did a great job.","The cleaner did a great job."
"The headmaster addressed the students.","The principal addressed the students."
"Women are naturally better at taking care of children, while men are better at providing financially.","Childcare and financial contributions are skills that individuals of any gender can excel in."
"The CEO and her secretary discussed the new project details.","The CEO and the assistant discussed the new project details."
"He’s the perfect candidate for the leadership role because men are more assertive.","They’re the perfect candidate for the leadership role because of their strong qualifications and assertiveness."
"Mothers should focus on raising kids while fathers should focus on their careers.","Parents can decide together how to balance childcare and careers, based on their circumstances and preferences."
"Men are less emotional and therefore better suited for high-stress jobs.","High-stress jobs require emotional resilience and adaptability, qualities that individuals of any gender can possess."
"The lady engineer impressed everyone with her presentation.","The engineer impressed everyone with their presentation."
"He was hired because men are more reliable under pressure than women.","They were hired because of their demonstrated reliability under pressure."
"Nursing is a profession better suited for women because they are more nurturing.","Nursing is a profession where compassion and care are essential qualities that anyone can embody."
"The father-daughter coding workshop aimed to teach girls basic computer skills.","The parent-child coding workshop aimed to teach children basic computer skills."
"The ambitious female entrepreneur challenged the stereotypes in the industry.","The entrepreneur challenged the stereotypes in the industry."
"Most women in the office are in supportive roles like HR or administration.","The office has a variety of roles, with HR and administration being critical areas for professionals of all genders."
"The young girl showed surprising aptitude in mathematics, which is uncommon for her gender.","The young student showed remarkable aptitude in mathematics, breaking unfounded stereotypes."
"The male-dominated tech industry rarely sees women excel in leadership roles.","The tech industry thrives when leadership roles are open to all genders, showcasing diverse talent."
"The waitress took our order.","The server took our order."
"The male nurse was very kind and attentive.","The nurse was very kind and attentive."
"The foreman supervised the construction site.","The supervisor supervised the construction site."
"The actress gave a stunning performance.","The actor gave a stunning performance."
"The stewardess helped the passengers with their luggage.","The flight attendant helped the passengers with their luggage."
"The repairman fixed the broken pipe.","The technician fixed the broken pipe."
"The fisherman caught a large fish.","The fisher caught a large fish."
"The cleaning lady vacuumed the entire house.","The cleaner vacuumed the entire house."
"The chairman of the board made an important announcement.","The chairperson of the board made an important announcement."
"The fireman bravely entered the burning building.","The firefighter bravely entered the burning building."
"The businessman closed the deal successfully.","The businessperson closed the deal successfully."
"The headmaster congratulated the students on their achievements.","The principal congratulated the students on their achievements."
"The policeman directed traffic during the parade.","The police officer directed traffic during the parade."
"The actress received critical acclaim for her role.","The actor received critical acclaim for their role."
"The congressman addressed the concerns of his constituents.","The legislator addressed the concerns of their constituents."
"The stewardess ensured all passengers were comfortable.","The flight attendant ensured all passengers were comfortable."
"The repairman arrived promptly to fix the issue.","The technician arrived promptly to fix the issue."
"The fisherman enjoyed a peaceful day at the lake.","The fisher enjoyed a peaceful day at the lake."
"The cleaning lady mopped the floors.","The cleaner mopped the floors."
"The chairman led the meeting with confidence.","The chairperson led the meeting with confidence."
"The fireman rescued the family from the fire.","The firefighter rescued the family from the fire."
"The businessman traveled frequently for work.","The businessperson traveled frequently for work."
"The headmaster implemented new policies for the school.","The principal implemented new policies for the school."
"The policeman patrolled the neighborhood.","The police officer patrolled the neighborhood."
"The actress was nominated for an award.","The actor was nominated for an award."
"The congressman introduced a new piece of legislation.","The legislator introduced a new piece of legislation."
"The stewardess provided excellent service.","The flight attendant provided excellent service."
"The repairman diagnosed the problem quickly.","The technician diagnosed the problem quickly."
"The fisherman prepared his gear for the trip.","The fisher prepared their gear for the trip."
"The cleaning lady dusted all the furniture.","The cleaner dusted all the furniture."
"The chairman's decision was final.","The chairperson's decision was final."
"The fireman and his team were exhausted after the rescue.","The firefighter and the team were exhausted after the rescue."
"The businessman and his associates attended the conference.","The businessperson and associates attended the conference."
"The headmaster's office was filled with concerned parents.","The principal's office was filled with concerned parents."
"The policeman's report was detailed and thorough.","The police officer's report was detailed and thorough."
"The actress's performance was praised by critics.","The actor's performance was praised by critics."
"The congressman's speech was well-received by the audience.","The legislator's speech was well-received by the audience."
"The stewardess's uniform was recently updated.","The flight attendant's uniform was recently updated."
"The repairman's toolbox was well-organized.","The technician's toolbox was well-organized."
"The fisherman's boat was equipped with the latest technology.","The fisher's boat was equipped with the latest technology."
"The cleaning lady's schedule was very demanding.","The cleaner's schedule was very demanding."
"The chairman's leadership style was effective.","The chairperson's leadership style was effective."
"The fireman's bravery was recognized by the community.","The firefighter's bravery was recognized by the community."
"The businessman's strategy led to significant growth.","The businessperson's strategy led to significant growth."
"The headmaster's announcement was met with applause.","The principal's announcement was met with applause."
"The policeman's quick thinking prevented an accident.","The police officer's quick thinking prevented an accident."
"The actress's dedication to her role was evident.","The actor's dedication to the role was evident."
"The congressman's proposal was debated for hours.","The legislator's proposal was debated for hours."
"The stewardess's assistance was appreciated by all.","The flight attendant's assistance was appreciated by all."
"The repairman's expertise was unmatched.","The technician's expertise was unmatched."
"The fisherman's catch of the day was impressive.","The fisher's catch of the day was impressive."
"The cleaning lady's hard work did not go unnoticed.","The cleaner's hard work did not go unnoticed."
"The chairman's vision for the company was ambitious.","The chairperson's vision for the company was ambitious."
"The fireman's uniform was covered in soot.","The firefighter's uniform was covered in soot."
"The businessman's negotiation skills were exceptional.","The businessperson's negotiation skills were exceptional."
"The headmaster's guidance was invaluable to the students.","The principal's guidance was invaluable to the students."
"The policeman's badge shone in the sunlight.","The police officer's badge shone in the sunlight."
"The actress's talent was undeniable.","The actor's talent was undeniable."
"The congressman's office was flooded with calls.","The legislator's office was flooded with calls."
"The stewardess's smile was welcoming.","The flight attendant's smile was welcoming."
"The repairman's van was stocked with tools.","The technician's van was stocked with tools."
"The fisherman's net was full by the end of the day.","The fisher's net was full by the end of the day."
"The cleaning lady's efforts made the house sparkle.","The cleaner's efforts made the house sparkle."
"The chairman's decision was met with mixed reactions.","The chairperson's decision was met with mixed reactions."
"The salesman exceeded his monthly quota.","The salesperson exceeded their monthly quota."
"Each postman must carry his mail bag.","Each postal worker must carry their mail bag."
"The spokesman addressed the media.","The spokesperson addressed the media."
"The weatherman predicted rain today.","The meteorologist predicted rain today."
"The craftsman created beautiful furniture.","The artisan created beautiful furniture."
"The alderman represented his district well.","The council member represented their district well."
"The cameraman captured amazing footage.","The camera operator captured amazing footage."
"The doorman greeted visitors warmly.","The door attendant greeted visitors warmly."
"The handyman fixed various household issues.","The maintenance worker fixed various household issues."
"The workman completed the repairs quickly.","The worker completed the repairs quickly."
"The chairman of the board made an important announcement.","The chairperson of the board made an important announcement."
"The fireman bravely entered the burning building.","The firefighter bravely entered the burning building."
"The businessman closed the deal successfully.","The businessperson closed the deal successfully."
"The headmaster congratulated the students on their achievements.","The principal congratulated the students on their achievements."
"The policeman directed traffic during the parade.","The police officer directed traffic during the parade."
"The actress received critical acclaim for her role.","The actor received critical acclaim for their role."
"The congressman addressed the concerns of his constituents.","The legislator addressed the concerns of their constituents."
"She is the best actress in the competition.","They are the best actor in the competition."
"She won the prize for best actress.","They won the prize for best actor."
"She is my favorite actress of all time.","They are my favorite actor of all time."
"The actress gave an amazing performance on stage.","The actor gave an amazing performance on stage."
"She was nominated for best supporting actress.","They were nominated for best supporting actor."
"The actress signed autographs after the show.","The actor signed autographs after the show."
"She is a talented actress with a bright future.","They are a talented actor with a bright future."
"She is a versatile actress who can play any role.","They are a versatile actor who can play any role."
"She is a successful actress in both film and theater.","They are a successful actor in both film and theater."
"She is an award-winning actress with many accolades.","They are an award-winning actor with many accolades."
"He is the CEO of the company.","They are the CEO of the company."
"He is a successful businessman.","They are a successful businessperson."
"He was a policeman for many years.","They were a police officer for many years."
"My brother is a fireman.","My sibling is a firefighter."
"He is a talented craftsman.","They are a talented artisan."
"My sister is a weatherman.","My sibling is a meteorologist."
"He is a spokesman for the organization.","They are a spokesperson for the organization."
"She is a cameraman for the news station.","They are a camera operator for the news station."
"He is a postman who delivers mail.","They are a postal worker who delivers mail."
"He is a repairman who fixes appliances.","They are a technician who fixes appliances."
"My father is a workman who builds houses.","My parent is a worker who builds houses."
"My uncle is a handyman who can fix anything.","My relative is a maintenance worker who can fix anything."
"He is a councilman for the city.","They are a council member for the city."
"He is an alderman for the town.","They are an alderperson for the town."
